Model,DPO4104
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.01
Horizontal Delay,-0.0001
Sample Interval,1e-06
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,0.2
Vertical Units,V
Vertical Offset,-0.812
Vertical Scale,0.1
Vertical Position,-3.9
,
,
,
Label,
TIME,CH2
-4.97620e-02,-0.464547
-4.97610e-02,-0.464984
-4.97600e-02,-0.464172
-4.97590e-02,-0.464984
-4.97580e-02,-0.465016
-4.97570e-02,-0.465219
-4.97560e-02,-0.463375
-4.97550e-02,-0.463797
-4.97540e-02,-0.465328
-4.97530e-02,-0.464406
-4.97520e-02,-0.465234
-4.97510e-02,-0.464203
-4.97500e-02,-0.46625
-4.97490e-02,-0.46475
-4.97480e-02,-0.465953
-4.97470e-02,-0.465109
-4.97460e-02,-0.465203
-4.97450e-02,-0.465688
-4.97440e-02,-0.463828
-4.97430e-02,-0.464969
-4.97420e-02,-0.464438
-4.97410e-02,-0.465844
-4.97400e-02,-0.46475
-4.97390e-02,-0.466344
-4.97380e-02,-0.464672
-4.97370e-02,-0.464063
-4.97360e-02,-0.46325
-4.97350e-02,-0.464531
-4.97340e-02,-0.46525
-4.97330e-02,-0.465109
-4.97320e-02,-0.465141
-4.97310e-02,-0.464219
-4.97300e-02,-0.466125
-4.97290e-02,-0.465281
-4.97280e-02,-0.463938
-4.97270e-02,-0.465563
-4.97260e-02,-0.463813
-4.97250e-02,-0.46525
-4.97240e-02,-0.465969
-4.97230e-02,-0.464359
-4.97220e-02,-0.464641
-4.97210e-02,-0.463906
-4.97200e-02,-0.465469
-4.97190e-02,-0.463641
-4.97180e-02,-0.464766
-4.97170e-02,-0.465688
-4.97160e-02,-0.464125
-4.97150e-02,-0.464969
-4.97140e-02,-0.466734
-4.97130e-02,-0.464266
-4.97120e-02,-0.464063
-4.97110e-02,-0.463969
-4.97100e-02,-0.466344
-4.97090e-02,-0.464656
-4.97080e-02,-0.465406
-4.97070e-02,-0.466
-4.97060e-02,-0.465109
-4.97050e-02,-0.465969
-4.97040e-02,-0.463594
-4.97030e-02,-0.464656
-4.97020e-02,-0.465234
-4.97010e-02,-0.465
-4.97000e-02,-0.464906
-4.96990e-02,-0.464547
-4.96980e-02,-0.466109
-4.96970e-02,-0.465016
-4.96960e-02,-0.465406
-4.96950e-02,-0.465094
-4.96940e-02,-0.465703
-4.96930e-02,-0.464375
-4.96920e-02,-0.463313
-4.96910e-02,-0.466016
-4.96900e-02,-0.465047
-4.96890e-02,-0.464078
-4.96880e-02,-0.464906
-4.96870e-02,-0.465422
-4.96860e-02,-0.465969
-4.96850e-02,-0.466
-4.96840e-02,-0.466781
-4.96830e-02,-0.465688
-4.96820e-02,-0.464578
-4.96810e-02,-0.464516
-4.96800e-02,-0.465344
-4.96790e-02,-0.465953
-4.96780e-02,-0.464766
-4.96770e-02,-0.464453
-4.96760e-02,-0.4655
-4.96750e-02,-0.466641
-4.96740e-02,-0.465656
-4.96730e-02,-0.4645
-4.96720e-02,-0.464984
-4.96710e-02,-0.464453
-4.96700e-02,-0.464344
-4.96690e-02,-0.467094
-4.96680e-02,-0.464547
-4.96670e-02,-0.46475
-4.96660e-02,-0.465953
-4.96650e-02,-0.467516
-4.96640e-02,-0.465984
-4.96630e-02,-0.465672
-4.96620e-02,-0.464859
-4.96610e-02,-0.466375
-4.96600e-02,-0.465219
-4.96590e-02,-0.464281
-4.96580e-02,-0.465406
-4.96570e-02,-0.46625
-4.96560e-02,-0.464359
-4.96550e-02,-0.465406
-4.96540e-02,-0.46725
-4.96530e-02,-0.465281
-4.96520e-02,-0.465094
-4.96510e-02,-0.465375
-4.96500e-02,-0.463563
-4.96490e-02,-0.466063
-4.96480e-02,-0.466938
-4.96470e-02,-0.465141
-4.96460e-02,-0.465844
-4.96450e-02,-0.465969
-4.96440e-02,-0.464828
-4.96430e-02,-0.465688
-4.96420e-02,-0.464172
-4.96410e-02,-0.466609
-4.96400e-02,-0.464844
-4.96390e-02,-0.465078
-4.96380e-02,-0.464688
-4.96370e-02,-0.464453
-4.96360e-02,-0.464984
-4.96350e-02,-0.465188
-4.96340e-02,-0.464938
-4.96330e-02,-0.464984
-4.96320e-02,-0.465484
-4.96310e-02,-0.466125
-4.96300e-02,-0.465563
-4.96290e-02,-0.466734
-4.96280e-02,-0.464984
-4.96270e-02,-0.466125
-4.96260e-02,-0.465953
-4.96250e-02,-0.463797
-4.96240e-02,-0.465484
-4.96230e-02,-0.464984
-4.96220e-02,-0.464313
-4.96210e-02,-0.465953
-4.96200e-02,-0.466438
-4.96190e-02,-0.465938
-4.96180e-02,-0.467094
-4.96170e-02,-0.465391
-4.96160e-02,-0.467891
-4.96150e-02,-0.465703
-4.96140e-02,-0.466297
-4.96130e-02,-0.464297
-4.96120e-02,-0.466234
-4.96110e-02,-0.466531
-4.96100e-02,-0.465047
-4.96090e-02,-0.465313
-4.96080e-02,-0.467438
-4.96070e-02,-0.466938
-4.96060e-02,-0.466172
-4.96050e-02,-0.465359
-4.96040e-02,-0.465406
-4.96030e-02,-0.46625
-4.96020e-02,-0.466406
-4.96010e-02,-0.465375
-4.96000e-02,-0.464906
-4.95990e-02,-0.465203
-4.95980e-02,-0.465609
-4.95970e-02,-0.465063
-4.95960e-02,-0.465688
-4.95950e-02,-0.465484
-4.95940e-02,-0.466344
-4.95930e-02,-0.467375
-4.95920e-02,-0.465516
-4.95910e-02,-0.465438
-4.95900e-02,-0.465281
-4.95890e-02,-0.465828
-4.95880e-02,-0.466125
-4.95870e-02,-0.466266
-4.95860e-02,-0.466016
-4.95850e-02,-0.466891
-4.95840e-02,-0.465938
-4.95830e-02,-0.465797
-4.95820e-02,-0.467984
-4.95810e-02,-0.464969
-4.95800e-02,-0.466
-4.95790e-02,-0.465313
-4.95780e-02,-0.466063
-4.95770e-02,-0.466016
-4.95760e-02,-0.466859
-4.95750e-02,-0.464563
-4.95740e-02,-0.465844
-4.95730e-02,-0.465734
-4.95720e-02,-0.466031
-4.95710e-02,-0.466906
-4.95700e-02,-0.466984
-4.95690e-02,-0.466063
